seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth,truth_key
18,OR,0.9642490595198288,-0.035750940480171245,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
18,OR.fal,0.8117971015284843,-0.18820289847151572,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
18,DR,0.9632253325964034,-0.036774667403596584,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
18,DR.ofal,1.121046170639182,0.1210461706391821,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
18,DR.pfal,0.957645526567044,-0.04235447343295595,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
18,DR.o&pfal,0.7400543449241525,-0.25994565507584755,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
19,IPW,1.0340365538189007,0.034036553818900694,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
19,IPW.fal,0.588166384081143,-0.41183361591885703,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
19,OR,1.1835154774449552,0.18351547744495522,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
19,OR.fal,0.7861667225805966,-0.2138332774194034,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
19,DR,1.1978007010705096,0.19780070107050962,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
19,DR.ofal,1.0532750234882897,0.05327502348828972,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
19,DR.pfal,1.1902115543047134,0.19021155430471337,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
19,DR.o&pfal,0.7408467143418093,-0.25915328565819074,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
20,IPW,0.9992346287313842,-0.0007653712686157554,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
20,IPW.fal,0.5337635476519126,-0.4662364523480874,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
20,OR,1.032168693247726,0.03216869324772609,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
20,OR.fal,0.7099170452870728,-0.2900829547129272,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
20,DR,1.0183206157539213,0.0183206157539213,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
20,DR.ofal,0.9966859746898445,-0.003314025310155455,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
20,DR.pfal,1.0249288140688004,0.02492881406880043,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
20,DR.o&pfal,0.6599011049544794,-0.3400988950455206,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
21,IPW,1.212165793061974,0.21216579306197403,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
21,IPW.fal,0.8607440531327764,-0.13925594686722365,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
21,OR,1.135591891337648,0.13559189133764793,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
21,OR.fal,1.0320690878295369,0.03206908782953688,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
21,DR,1.1224745111496763,0.12247451114967634,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
21,DR.ofal,1.2444007856171784,0.24440078561717837,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
21,DR.pfal,1.1236983998462238,0.12369839984622377,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
21,DR.o&pfal,0.9907394194074325,-0.009260580592567513,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
22,IPW,0.9221854673196371,-0.07781453268036287,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
22,IPW.fal,0.6288954456260302,-0.37110455437396983,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
22,OR,0.820290670148253,-0.17970932985174704,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
22,OR.fal,0.7337489297375068,-0.2662510702624932,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
22,DR,0.7950444067146079,-0.20495559328539215,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
22,DR.ofal,0.8805029215144798,-0.11949707848552016,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
22,DR.pfal,0.8255662497337541,-0.17443375026624586,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
22,DR.o&pfal,0.7194584669357436,-0.28054153306425644,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
